,Image,Hex,R,G,B,H,S,V,Freq,Prop
0,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked.jpg,#95962f,0.5843137254901961,0.5882352941176471,0.1843137254901961,0.16828478964401294,0.6866666666666666,0.5882352941176471,253104,0.0992628156231163
1,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked.jpg,#a16a3d,0.6313725490196078,0.41568627450980394,0.23921568627450981,0.07500000000000001,0.6211180124223602,0.6313725490196078,331614,0.13005301907533698
2,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked.jpg,#883a22,0.5333333333333333,0.22745098039215686,0.13333333333333333,0.039215686274509796,0.75,0.5333333333333333,183669,0.07203166320043203
3,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked.jpg,#825a2b,0.5098039215686274,0.35294117647058826,0.16862745098039217,0.09003831417624523,0.6692307692307692,0.5098039215686274,339249,0.1330473281233271
4,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked.jpg,#c4bb67,0.7686274509803922,0.7333333333333333,0.403921568627451,0.1505376344086021,0.4744897959183674,0.7686274509803922,236682,0.09282240394189903
5,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked.jpg,#b88c54,0.7215686274509804,0.5490196078431373,0.32941176470588235,0.09333333333333337,0.5434782608695652,0.7215686274509804,270015,0.10589500426890032
6,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked.jpg,#5e6014,0.3686274509803922,0.3764705882352941,0.0784313725490196,0.17105263157894735,0.7916666666666666,0.3764705882352941,270597,0.10612325415310861
7,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked.jpg,#653316,0.396078431372549,0.2,0.08627450980392157,0.06118143459915613,0.7821782178217822,0.396078431372549,331153,0.12987222320485584
8,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked.jpg,#372a0a,0.21568627450980393,0.16470588235294117,0.0392156862745098,0.11851851851851851,0.8181818181818182,0.21568627450980393,333754,0.13089228840902378
9,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked.jpg,#86882c,0.5254901960784314,0.5333333333333333,0.17254901960784313,0.17028985507246377,0.6764705882352942,0.5333333333333333,35714,0.07668440953605868
10,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked.jpg,#606b1a,0.3764705882352941,0.4196078431372549,0.10196078431372549,0.18930041152263377,0.7570093457943925,0.4196078431372549,29764,0.06390868470155263
