,Image,Hex,R,G,B,H,S,V,Freq,Prop,Date,Treatment,Name,SqIn,SqCm,HScaled,HBin
0,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked,#95962f,0.5843137254901961,0.5882352941176471,0.1843137254901961,0.1682847896440129,0.6866666666666666,0.5882352941176471,253104,0.0992628156231163,2019-10-14,10_30_20,f102-04049,4.353503732498538,28.0870647517014,60,60
1,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked,#a16a3d,0.6313725490196078,0.4156862745098039,0.2392156862745098,0.075,0.6211180124223602,0.6313725490196078,331614,0.1300530190753369,2019-10-14,10_30_20,f102-04049,5.703911383260518,36.7993547734161,27,25
2,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked,#883a22,0.5333333333333333,0.2274509803921568,0.1333333333333333,0.0392156862745097,0.75,0.5333333333333333,183669,0.072031663200432,2019-10-14,10_30_20,f102-04049,3.159190202621349,20.381831562836798,14,10
3,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked,#825a2b,0.5098039215686274,0.3529411764705882,0.1686274509803921,0.0900383141762452,0.6692307692307692,0.5098039215686274,339249,0.1330473281233271,2019-10-14,10_30_20,f102-04049,5.835236850252847,37.64661415840899,32,30
4,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked,#c4bb67,0.7686274509803922,0.7333333333333333,0.403921568627451,0.1505376344086021,0.4744897959183674,0.7686274509803922,236682,0.092822403941899,2019-10-14,10_30_20,f102-04049,4.07103787539991,26.264708023429858,54,50
5,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked,#b88c54,0.7215686274509804,0.5490196078431373,0.3294117647058823,0.0933333333333333,0.5434782608695652,0.7215686274509804,270015,0.1058950042689003,2019-10-14,10_30_20,f102-04049,4.644380611648147,29.96368602997445,33,30
6,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked,#5e6014,0.3686274509803922,0.3764705882352941,0.0784313725490196,0.1710526315789473,0.7916666666666666,0.3764705882352941,270597,0.1061232541531086,2019-10-14,10_30_20,f102-04049,4.654391275929685,30.028270831816737,61,60
7,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked,#653316,0.396078431372549,0.2,0.0862745098039215,0.0611814345991561,0.7821782178217822,0.396078431372549,331153,0.1298722232048558,2019-10-14,10_30_20,f102-04049,5.695981973924112,36.74819739601181,22,20
8,data_sarracenia/masked/10_14_19.10_30_20.f102-04049.masked,#372a0a,0.2156862745098039,0.1647058823529411,0.0392156862745098,0.1185185185185185,0.8181818181818182,0.2156862745098039,333754,0.1308922884090237,2019-10-14,10_30_20,f102-04049,5.740720355017372,37.03683153620389,42,40
9,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked,#86882c,0.5254901960784314,0.5333333333333333,0.1725490196078431,0.1702898550724637,0.6764705882352942,0.5333333333333333,35714,0.0766844095360586,2019-10-14,10_30_20,f1bcp11011,0.6142970174412604,3.9631986477584857,61,60
10,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked,#606b1a,0.3764705882352941,0.4196078431372549,0.1019607843137254,0.1893004115226337,0.7570093457943925,0.4196078431372549,29764,0.0639086847015526,2019-10-14,10_30_20,f1bcp11011,0.5119543155939317,3.302924470848507,68,65
11,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked,#8a5926,0.5411764705882353,0.3490196078431372,0.1490196078431372,0.085,0.7246376811594202,0.5411764705882353,38305,0.082247754585841,2019-10-14,10_30_20,f1bcp11011,0.6588633939936014,4.250723083451554,30,30
12,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked,#444f0d,0.2666666666666666,0.3098039215686274,0.0509803921568627,0.1944444444444444,0.8354430379746836,0.3098039215686274,26963,0.0578944317164347,2019-10-14,10_30_20,f1bcp11011,0.4637758436822732,2.992096240676263,69,65
13,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked,#d7bf55,0.8431372549019608,0.7490196078431373,0.3333333333333333,0.1358974358974359,0.6046511627906976,0.8431372549019608,36705,0.0788122655547133,2019-10-14,10_30_20,f1bcp11011,0.6313426674464205,4.073170363610215,48,45
14,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked,#693919,0.4117647058823529,0.2235294117647059,0.0980392156862745,0.0666666666666667,0.761904761904762,0.4117647058823529,54391,0.1167873024325409,2019-10-14,10_30_20,f1bcp11011,0.9355498985173208,6.035793740556415,24,20
15,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked,#44270f,0.2666666666666666,0.1529411764705882,0.0588235294117647,0.0754716981132075,0.7794117647058822,0.2666666666666666,76128,0.1634605681010549,2019-10-14,10_30_20,f1bcp11011,1.3094361691148646,8.447958410050905,27,25
16,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked,#ab9937,0.6705882352941176,0.6,0.2156862745098039,0.1408045977011494,0.6783625730994152,0.6705882352941176,53508,0.1148913419234873,2019-10-14,10_30_20,f1bcp11011,0.9203618975540955,5.937806833293976,50,50
17,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11011.masked,#291609,0.1607843137254902,0.0862745098039215,0.0352941176470588,0.0677083333333333,0.7804878048780487,0.1607843137254902,114249,0.2453132414483163,2019-10-14,10_30_20,f1bcp11011,1.9651346795555402,12.678262930720704,24,20
18,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11018.masked,#5b351a,0.3568627450980392,0.2078431372549019,0.1019607843137254,0.0692307692307692,0.7142857142857142,0.3568627450980392,71632,0.1111913110832739,2019-10-14,10_30_20,f1bcp11018,1.2321029275172866,7.949035267296742,24,20
19,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11018.masked,#91943c,0.5686274509803921,0.5803921568627451,0.2352941176470588,0.1723484848484848,0.5945945945945946,0.5803921568627451,117147,0.1818423123669909,2019-10-14,10_30_20,f1bcp11018,2.0149815955141217,12.99985529453333,62,60
20,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11018.masked,#775131,0.4666666666666667,0.3176470588235294,0.192156862745098,0.0761904761904761,0.5882352941176471,0.4666666666666667,71667,0.1112456400966746,2019-10-14,10_30_20,f1bcp11018,1.232704943410506,7.952919233043271,27,25
21,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11018.masked,#3c240e,0.2352941176470588,0.1411764705882353,0.0549019607843137,0.0797101449275362,0.7666666666666667,0.2352941176470588,60776,0.0943400033839214,2019-10-14,10_30_20,f1bcp11018,1.0453747978946644,6.744340063173258,28,25
22,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11018.masked,#3c4310,0.2352941176470588,0.2627450980392157,0.0627450980392156,0.1895424836601307,0.7611940298507462,0.2627450980392157,42218,0.0655332082213767,2019-10-14,10_30_20,f1bcp11018,0.7261687708555505,4.684950453913529,68,65
23,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11018.masked,#576317,0.3411764705882353,0.388235294117647,0.0901960784313725,0.1929824561403509,0.7676767676767676,0.388235294117647,79384,0.1232244114227526,2019-10-14,10_30_20,f1bcp11018,1.3654408476383777,8.80927819492803,69,65
24,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11018.masked,#adad58,0.6784313725490196,0.6784313725490196,0.3450980392156862,0.1666666666666666,0.4913294797687861,0.6784313725490196,42783,0.0664102337234156,2019-10-14,10_30_20,f1bcp11018,0.7358870274175239,4.747648758107501,59,55
25,data_sarracenia/masked/10_14_19.10_30_20.f1bcp11018.masked,#758025,0.4588235294117647,0.5019607843137255,0.1450980392156863,0.1868131868131868,0.7109374999999999,0.5019607843137255,128211,0.1990164896316958,2019-10-14,10_30_20,f1bcp11018,2.205287419587877,14.227632352236188,67,65
